beta,block_size,conditioning,dense_ms,dense_peak_incremental_bytes,density_mean,density_p10,density_p90,density_std,dimension,error_reduction_fraction,exact_cosine,exact_ms,exact_peak_incremental_bytes,exact_relative_l2,exact_speedup_over_dense,family,full_map_route_ms,head,head_dim,label,latent,layer,length,model_id,moment_aux_bytes,moment_route_ms,moment_route_speedup,proxy_map_bytes_avoided,rank,routing_aux_reduction,seed,sequence,sol_cosine,sol_kernel_memory_ratio_to_dense,sol_kernel_ms,sol_kernel_peak_incremental_bytes,sol_kernel_speedup_over_dense,sol_ms,sol_overhead_vs_exact,sol_peak_incremental_bytes,sol_relative_l2,sol_speedup_over_dense,source,spatial,stream_count_match_fraction,stream_count_matches_full_map,stream_count_max_abs_difference,stream_density_mean,target_density_gaussian,tensor_source,threshold_moment_max_abs_error
1.03643339,64,,1.1296693483988445,4195328,0.14990234375,0.13671875,0.162109375,0.009046390652656555,64,0.677957009442108,0.3799329400062561,0.815770705540975,8519680,2.4754393100738525,1.3847878340393567,random,0.27530133724212646,,,final-random-32k,,,32768,,18944,0.24601600567499796,1.1190383182052643,1048576,3,55.351351351351354,727,,0.6259105205535889,1.0002440810349036,0.8076746463775635,4196352,1.398668824712319,0.9259306589762369,0.1350378883269776,8519680,0.7971978783607483,1.2200366598162684,final_random_32k,,0.98828125,False,1,0.14989471435546875,0.1499999998819726,,4.180154064670205e-06
1.28155157,64,,1.1265066464742024,4195328,0.10021209716796875,0.08984375,0.111328125,0.008367490954697132,64,0.7395528044428341,0.3092310428619385,0.6662453413009644,8519680,3.1241674423217773,1.6908285531490468,random,0.2903733253479004,,,final-random-32k,,,32768,,18944,0.23918932676315308,1.213989475523003,1048576,3,55.351351351351354,727,,0.5995944142341614,1.0002440810349036,0.6711573600769043,4196352,1.6784538373312663,0.7860106627146403,0.1797615892965383,8519680,0.8136806488037109,1.433195120513497,final_random_32k,,0.990234375,False,1,0.10023117065429688,0.09999999921808483,,4.180154064670205e-06
1.03643339,64,,1.130400021870931,4195328,0.15020370483398438,0.138671875,0.162109375,0.009040751494467258,64,0.6777791973370173,0.3951674997806549,0.8164107004801432,8519680,2.39798903465271,1.384597263615146,random,0.2805866599082947,,,final-random-32k,,,32768,,18944,0.2513013283411662,1.11653472649922,1048576,2,55.351351351351354,719,,0.6535565853118896,1.0002440810349036,0.8166133562723795,4196352,1.3842536534436605,0.932965358098348,0.14276473538337675,8519680,0.7726819515228271,1.2116205731100365,final_random_32k,,0.970703125,False,1,0.1501922607421875,0.1499999998819726,,4.1552993934601545e-06
1.03643339,64,,1.1273599863052368,4195328,0.15002822875976562,0.138671875,0.162109375,0.009484388865530491,64,0.6760277171988849,0.3932662606239319,0.8005040287971497,8519680,2.404038906097412,1.4083126951893374,random,0.4919080138206482,,,final-random-32k,,,32768,,18944,0.4097839891910553,1.2004080852248815,1048576,0,55.351351351351354,701,,0.6476259827613831,1.0002440810349036,0.8161759972572327,4196352,1.3812706941808397,0.9205759763717651,0.14999543194684173,8519680,0.7788419723510742,1.2246245994257448,final_random_32k,,0.984375,False,1,0.15003585815429688,0.1499999998819726,,3.5171688068658113e-06
1.28155157,64,,1.1278613408406575,4195328,0.1001739501953125,0.08984375,0.109375,0.007888056337833405,64,0.7398287803017805,0.3246433138847351,0.6766719818115234,8519680,3.030324697494507,1.6667770665208448,random,0.30557332436243695,,,final-random-32k,,,32768,,18944,0.24625066916147867,1.2409035289242503,1048576,2,55.351351351351354,719,,0.6303654313087463,1.0002440810349036,0.681056022644043,4196352,1.6560478188886663,0.7925919691721598,0.17130898053486132,8519680,0.7884032726287842,1.423003745569965,final_random_32k,,0.98828125,False,1,0.10018157958984375,0.09999999921808483,,4.1552993934601545e-06
1.28155157,64,,1.1267240047454834,4195328,0.10008621215820312,0.08984375,0.111328125,0.00808271486312151,64,0.7383525654800089,0.32205867767333984,0.6748960018157959,8519680,3.040127754211426,1.6694779665519608,random,0.28283199667930603,,,final-random-32k,,,32768,,18944,0.23864400386810303,1.1851628035692252,1048576,0,55.351351351351354,701,,0.6229938268661499,1.0002440810349036,0.684008002281189,4196352,1.6472380454436528,0.7839999794960022,0.16166042973534278,8519680,0.7954416275024414,1.4371480028224017,final_random_32k,,0.986328125,False,1,0.10009765625,0.09999999921808483,,3.5171688068658113e-06
1.03643339,64,,1.1202826499938965,4195328,0.15062332153320312,0.138671875,0.162109375,0.009503364562988281,64,0.6775780735453476,0.3952339291572571,0.856655995051066,8519680,2.3728930950164795,1.3077392284251923,random,0.45861868063608807,,,final-random-32k,,,32768,,18944,0.40108267466227215,1.14345173603488,1048576,1,55.351351351351354,709,,0.6622726917266846,1.0002440810349036,0.8275093237559,4196352,1.3538006374467864,0.9678453604380289,0.12979465039561733,8519680,0.765072762966156,1.1575016999480963,final_random_32k,,0.978515625,False,1,0.1506195068359375,0.1499999998819726,,3.489665687084198e-06
1.28155157,64,,1.117456038792928,4195328,0.09985733032226562,0.08984375,0.111328125,0.007944305427372456,64,0.7402330878109802,0.32413449883461,0.6680053075154623,8519680,3.0073611736297607,1.6728250901914612,random,0.3091626763343811,,,final-random-32k,,,32768,,18944,0.24703466892242432,1.2514950945264556,1048576,1,55.351351351351354,709,,0.6393949389457703,1.0002440810349036,0.6732746760050455,4196352,1.6597327637859258,0.7811306317647299,0.16934794226413996,8519680,0.7812129259109497,1.4305623071884557,final_random_32k,,0.986328125,False,1,0.09986114501953125,0.09999999921808483,,3.489665687084198e-06
1.03643339,64,,1.1274453004201253,4195328,0.14903640747070312,0.138671875,0.16015625,0.008538317866623402,64,0.9490426783914312,0.9974988698959351,0.8081599871317545,8519680,0.05541818216443062,1.3950768639530746,smooth,0.27350399891535443,,,final-smooth-32k,,,32768,,18944,0.2479893366495768,1.102886126518542,1048576,2,55.351351351351354,743,,0.9999638795852661,1.0002440810349036,0.806821346282959,4196352,1.3973915112859703,0.9245973428090414,0.14407711038817372,8519680,0.0028239621315151453,1.2193905911462029,final_smooth_32k,,0.990234375,False,1,0.14904022216796875,0.1499999998819726,,0.00030422210693359375
1.03643339,64,,1.1163733005523682,4195328,0.15100479125976562,0.138671875,0.162109375,0.00943832192569971,64,0.9474962360627495,0.9972681403160095,0.7961493333180746,8519680,0.057016003876924515,1.4022159585309342,smooth,0.27666133642196655,,,final-smooth-32k,,,32768,,18944,0.2458453377087911,1.1253470942356354,1048576,1,55.351351351351354,739,,0.9999593496322632,1.0002440810349036,0.8001279830932617,4196352,1.3952434162301324,0.9124159812927246,0.14603623102978802,8519680,0.0029935548081994057,1.2235354525144044,final_smooth_32k,,0.9921875,False,1,0.15099716186523438,0.1499999998819726,,0.0002490878105163574
